run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B2_s0005_s42,ai4i_openai,B2,local,openai,42,s0005,84,0,none,0.0,0,0,0.0,False,,2026-07-24T12:32:47,3145.6
B3_s0005_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0005,84,0,none,14.981,518,199,0.0,False,,2026-07-24T12:33:02,3145.6
B4_s0005_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0005,84,0,none,16.01,1456,113,0.0,False,,2026-07-24T12:33:18,3145.6
B5_s0005_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0005,84,0,none,7.747,1289,118,0.0,False,,2026-07-24T12:33:26,3145.6
B6_s0005_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0005,84,0,none,11.529,797,120,0.0,False,,2026-07-24T12:33:38,3145.6
B7_s0005_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0005,84,0,none,36.787,1624,559,0.0,False,,2026-07-24T12:34:15,3145.6
B8_s0005_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0005,84,0,none,9.613,674,149,0.0,False,,2026-07-24T12:34:25,3145.6
B1_s0006_s42,ai4i_openai,B1,local,openai,42,s0006,92,0,none,0.0,0,0,0.0,False,,2026-07-24T12:34:26,3145.6
B2_s0006_s42,ai4i_openai,B2,local,openai,42,s0006,92,0,none,0.0,0,0,0.0,False,,2026-07-24T12:34:26,3145.6
B3_s0006_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0006,92,0,none,18.486,517,211,0.0,False,,2026-07-24T12:34:44,3145.6
B4_s0006_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0006,92,0,none,9.21,1455,75,0.0,False,,2026-07-24T12:34:54,3145.6
B5_s0006_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0006,92,0,none,8.249,1287,116,0.0,False,,2026-07-24T12:35:02,3145.6
B6_s0006_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0006,92,0,none,14.455,796,138,0.0,False,,2026-07-24T12:35:17,3145.6
B7_s0006_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0006,92,0,none,55.631,1809,734,0.0,False,,2026-07-24T12:36:13,3145.6
B8_s0006_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0006,92,0,none,13.59,673,155,0.0,False,,2026-07-24T12:36:27,3145.6
B1_s0007_s42,ai4i_openai,B1,local,openai,42,s0007,96,0,none,0.0,0,0,0.0,False,,2026-07-24T12:36:27,3145.6
B2_s0007_s42,ai4i_openai,B2,local,openai,42,s0007,96,0,none,0.0,0,0,0.0,False,,2026-07-24T12:36:27,3145.6
B3_s0007_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0007,96,0,none,14.507,519,148,0.0,False,,2026-07-24T12:36:42,3145.6
B4_s0007_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0007,96,0,none,14.17,1457,134,0.0,False,,2026-07-24T12:36:56,3145.6
B5_s0007_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0007,96,0,none,16.577,1291,117,0.0,False,,2026-07-24T12:37:13,3145.6
B6_s0007_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0007,96,0,none,10.891,798,118,0.0,False,,2026-07-24T12:37:25,3145.6
B7_s0007_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0007,96,0,none,56.32,1917,808,0.0,False,,2026-07-24T12:38:21,3145.6
B8_s0007_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0007,96,0,none,8.248,675,145,0.0,False,,2026-07-24T12:38:30,3145.6
B1_s0008_s42,ai4i_openai,B1,local,openai,42,s0008,100,0,none,0.0,0,0,0.0,False,,2026-07-24T12:38:30,3145.6
B2_s0008_s42,ai4i_openai,B2,local,openai,42,s0008,100,0,none,0.0,0,0,0.0,False,,2026-07-24T12:38:30,3145.6
B3_s0008_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0008,100,0,none,19.497,518,155,0.0,False,,2026-07-24T12:38:50,3145.6
B4_s0008_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0008,100,0,none,11.117,1456,87,0.0,False,,2026-07-24T12:39:01,3145.6
B5_s0008_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0008,100,0,none,14.418,1289,105,0.0,False,,2026-07-24T12:39:16,3145.6
B6_s0008_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0008,100,0,none,10.443,797,160,0.0,False,,2026-07-24T12:39:27,3145.6
B7_s0008_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0008,100,0,none,37.933,1607,551,0.0,False,,2026-07-24T12:40:05,3145.6
B8_s0008_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0008,100,0,none,8.507,674,144,0.0,False,,2026-07-24T12:40:14,3145.6
B1_s0009_s42,ai4i_openai,B1,local,openai,42,s0009,110,0,none,0.0,0,0,0.0,False,,2026-07-24T12:40:14,3145.6
B2_s0009_s42,ai4i_openai,B2,local,openai,42,s0009,110,0,none,0.0,0,0,0.0,False,,2026-07-24T12:40:14,3145.6
B3_s0009_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0009,110,0,none,11.395,518,150,0.0,False,,2026-07-24T12:40:26,3145.6
B4_s0009_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0009,110,0,none,5.707,1456,91,0.0,False,,2026-07-24T12:40:32,3145.6
B5_s0009_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0009,110,0,none,9.776,1289,127,0.0,False,,2026-07-24T12:40:42,3145.6
B6_s0009_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0009,110,0,none,14.191,797,154,0.0,False,,2026-07-24T12:40:57,3145.6
B7_s0009_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0009,110,0,none,53.73,1702,621,0.0,False,,2026-07-24T12:41:51,3145.6
B8_s0009_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0009,110,0,none,10.991,674,121,0.0,False,,2026-07-24T12:42:02,3145.6
B1_s0010_s42,ai4i_openai,B1,local,openai,42,s0010,111,0,none,0.0,0,0,0.0,False,,2026-07-24T12:42:02,3145.6
B2_s0010_s42,ai4i_openai,B2,local,openai,42,s0010,111,0,none,0.0,0,0,0.0,False,,2026-07-24T12:42:02,3145.6
B3_s0010_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0010,111,0,none,13.233,517,229,0.0,False,,2026-07-24T12:42:16,3145.6
