baseline,delta_Final,wilcoxon_p,cliffs_delta,sig,n_pairs
B1,-14.37,1.425907588227345e-18,-0.941,‡,100
B2,0.6,0.0058667634234683035,0.388,‡,100
B3,49.38,4.955204559858164e-18,0.961,‡,100
B4,47.5,6.119948488979534e-18,0.958,‡,100
B5,22.64,3.9591594194566385e-11,0.572,‡,100
B6,44.51,7.109966700021577e-18,0.915,‡,100
B7,47.37,4.396124559036767e-18,0.956,‡,100
