method,system,L1_mean,L1_sd,L2_mean,L2_sd,L3_mean,L3_sd,Final_mean,Final_sd,n
B1,Template-only (no LLM),0.987,0.069,0.981,0.107,4.899,0.585,98.267,9.686,100
B2,Traditional D2T,0.988,0.069,0.7,0.166,3.958,0.594,83.293,9.494,100
B3,Direct LLM,0.392,0.101,0.287,0.12,1.742,0.865,34.515,10.912,100
B4,Few-shot LLM,0.515,0.16,0.287,0.087,1.394,0.647,36.396,9.918,100
B5,Tool-using agent,0.58,0.19,0.58,0.35,3.361,1.583,61.252,25.45,100
B6,RAG,0.457,0.153,0.362,0.197,1.79,1.101,39.385,15.226,100
B7,RAG + CoVe,0.433,0.133,0.326,0.16,1.654,0.962,36.528,11.283,100
B8,Proposed framework,0.715,0.076,0.841,0.294,4.807,0.72,83.893,12.827,100
