system,contra_mean,contra_sd,L2_mean,n
B1,0.0,0.0,1.0,40
B2,0.11125,0.115605,0.835125,40
B3,0.408225,0.332452,0.4249,40
B4,0.5354,0.236014,0.538325,40
B5,0.37105,0.294439,0.47285,40
B8,0.012525,0.044547,0.96855,40
