cmp,dFinal,p_exact,cliffs,ci_lo,ci_hi,wins,ties,losses
B8-B1,-16.027727272727272,0.001953125,-0.6694214876033058,-23.59342045454546,-8.866136363636372,1,0,10
B8-B2,-7.153999999999999,0.240234375,-0.15702479338842976,-14.530504545454548,-0.5562909090909092,5,0,6
B8-B3,25.686636363636367,0.0048828125,0.6198347107438017,12.617902272727274,39.270929545454536,10,0,1
B8-B4,20.91581818181818,0.0419921875,0.5371900826446281,7.79109772727273,33.56020454545455,7,0,4
B8-B5,36.215,0.0029296875,0.8347107438016529,22.59701136363636,48.003874999999994,10,0,1
B8-B6,23.356636363636365,0.009765625,0.5371900826446281,9.984097727272728,36.19381818181818,9,0,2
B8-B7,32.982,0.001953125,0.768595041322314,20.095465909090915,45.638054545454544,10,0,1
