System,DS_Final,DS_std,Kimi_Final,Kimi_std,Delta,DS_Cov,Kimi_Cov
B1,98.3,9.7,98.4,8.8,0.2,5.91,6.0
B2,83.3,9.5,84.1,8.0,0.8,3.08,3.15
B3,34.5,10.9,41.3,8.4,6.8,2.56,5.75
B4,36.4,9.9,43.8,8.9,7.4,1.43,5.2
B5,61.3,25.5,66.3,21.1,5.0,4.24,5.62
B6,39.4,15.2,46.7,12.2,7.3,2.28,5.41
B7,36.5,11.3,44.1,10.7,7.6,1.9,5.14
B8,83.9,12.8,87.5,8.5,3.6,5.9,5.97
