System,DS_Final,GLM53_Final,GLM53_std,Delta,DS_Cov,GLM53_Cov
B1,98.2,98.4,8.7,0.2,5.84,6.0
B2,84.0,88.2,7.5,4.2,3.1,4.39
B3,56.9,70.8,10.8,13.9,5.09,6.0
B4,66.6,77.8,12.8,11.1,5.13,5.72
B5,55.9,67.9,10.2,12.0,5.23,6.0
B6,61.1,71.9,11.8,10.9,5.15,5.93
B7,60.5,70.4,12.3,9.9,5.22,5.93
B8,85.1,86.8,8.6,1.7,5.89,6.0
