system,L1,n,L2,L3,cov,faith,act,Final
B1,1.0,40,1.0,5.0,6.0,5.0,5.0,100.0
B2,1.0,40,0.835125,3.754525,4.9,3.325,4.75,86.335425
B3,0.51,40,0.42489999999999994,2.07605,3.575,1.075,1.525,45.12935
B4,0.37875000000000003,40,0.538325,2.430475,3.8,1.15,2.625,46.419325
B5,0.58,40,0.47285000000000005,2.079825,3.575,1.075,2.025,49.044275
B8,1.0,40,0.9685499999999999,4.95875,6.0,4.875,5.0,98.76775
